asin,shopify_handle,verdict,reason,drop_review_snippets
B07JL6XBS8,07-18-chevy-silverado-gmc-sierra-5-8-bed-rubber-mat-grey,KEEP,"Fitment/years/bed length match. Note: Shopify title says 'Grey' but Amazon listing and every review describe a black rubber mat — likely a pre-existing Shopify title/color copy bug (flag to catalog team separately), not a wrong-product mapping. Reviews (2012 short-bed Silverado) fine.",
B0833LR3NK,07-14-chevy-silverado-full-led-projector-headlights-black-amber,KEEP,"Exact match; reviews generic.",
B095W3NXPT,2005-2015-nissan-xterra-class-3-trailer-hitch-black-13514,KEEP,"Exact match; review (06 Xterra) in range.",
B099DRC5W9,2004-2014-ford-f-150-lincoln-mark-lt-5-5ft-bed-rubber-mat,KEEP,"Bed mat is 5.5ft; one review claims perfect fit on an F-150 STX with a '6.5ft bed' — that contradicts this SKU's bed length gate, drop that review. Other reviews are generic/consistent.","Satisfied: Fits perfect in my F-150 STX with 6.5ft bed."
B09SVZT1JM,09-14-ford-f-150-led-crystal-headlights-chrome-w-amber-light-bar,KEEP,"Exact match; reviews generic F-150.",
B09T5S7CCJ,04-08-ford-f-150-projector-headlights-sequential-led-chrome,KEEP,"Fitment includes Lincoln Mark LT 06-08; review mentioning a '07 Lincoln pickup' (Mark LT) is in scope.",
B09VN7H9M2,02-05-dodge-ram-full-led-projector-headlights-sequential-signal-black,KEEP,"Exact match; reviews generic.",
B09XCFFL52,06-13-chevy-impala-sequential-led-crystal-headlights-black,KEEP,"Fitment covers Impala 06-13 + Limited 14-16 + Monte Carlo 06-07 (title broadened to 2006-2016 correctly); reviews generic, no year conflict.",
B09XCGPWBW,07-13-gmc-sierra-1500-2500-3500-led-crystal-headlights-black,KEEP,"Exact match; review (2012 Sierra SLE) in range.",
B0BPN9WKLG,01-04-toyota-tacoma-crystal-headlights-6pc-led-light-bar-black,KEEP,"Exact match; review (2001 Tacoma) in range.",
B07F3NKZ7F,2006-2008-lexus-is250-is350-front-grille-emblem-matte-black,KEEP,"Part/finish match. One review references a '2009 IS250' outside the listed 2006-2008 range; IS250/350 2nd-gen (XE20) ran through 2013 so this is same-platform, likely a catalog year-range under-coverage rather than a wrong-vehicle review — flag to catalog team as possible fitment range gap, not a review-safety issue.",
B07MT1SL71,2009-2022-dodge-ram-crystal-black-headlights-quad-style,KEEP,"Fitment correctly split Dodge Ram (09-10) / Ram (11+) / Classic (19-24); reviews (2013 Ram, 2020 Ram Classic) both in range.",
B08SQCC471,2005-2009-land-rover-lr3-honeycomb-mesh-front-grille-chrome-black,KEEP,"Exact match; reviews generic.",
B08SQQ1C8K,2002-2006-cadillac-escalade-vertical-front-grille-black,KEEP,"Exact match; reviews generic.",
B08SQTKYNH,2005-2011-toyota-tacoma-front-grille-matte-black-mesh-style,KEEP,"Vehicle/year fitment correct (05-11 Tacoma). Note: Shopify title says 'Mesh Style' while SKU convention (-h- = horizontal) and Amazon description say 'Horizontal' — possible title copy error, flag to catalog team; does not affect review safety since no review makes a finish/style claim.",
B099DGDFW7,2005-2022-toyota-tacoma-6ft-bed-rubber-mat-lightweight-v2,KEEP,"Bed length (6ft long bed) and years match; reviews (2013 Tacoma) consistent.",
B099DJQZ8K,2007-2021-toyota-tundra-6-5ft-bed-rubber-mat-lightweight-v2,KEEP,"Exact match; review (08 Tundra) in range.",
B09KMN4162,07-13-toyota-tundra-08-17-sequoia-full-led-projector-headlights-black,KEEP,"Exact match; reviews generic.",
B09P3M2CC3,2017-honda-ridgeline-rubber-truck-bed-mat-diamond-plate-style,KEEP,"Exact match; one review reports a loose/imperfect fit on a 2019 Ridgeline — legitimate quality feedback within the correct vehicle, not a vehicle mismatch.",
B09TD9W8SQ,09-14-ford-f-150-full-led-projector-headlights-sequential-chrome,KEEP,"Exact match; reviews generic F-150.",
B09TS584P2,09-18-dodge-ram-crystal-headlights-sequential-led-turn-signal-black,KEEP,"Exact match; reviews generic.",
B0B9F9LK5G,07-13-toyota-tundra-08-15-sequoia-led-crystal-headlights-black-1,KEEP,"Fitment covers Tundra 07-13 + Sequoia 08-17 (title's 2007-2017 spans both correctly); reviews generic.",
B0C84NM5NJ,1999-2002-chevrolet-silverado-crystal-headlights-parking-lights-4pc-set-w-sequential-led-bar-chrome,KEEP,"Exact match; reviews generic.",
B01MU1AQQK,2004-2024-nissan-titan-5-7-bed-rubber-truck-bed-mat-grey,KEEP,"Fitment/years match. Same Grey-title-vs-black-rubber-description pattern as B07JL6XBS8 — likely a title copy bug across this SKU family, flag to catalog team; reviews are generic and don't contradict vehicle/part.",
B086MNRSY4,2005-2021-nissan-frontier-5ft-bed-rubber-mat-lightweight-v2,KEEP,"Exact match incl. Suzuki Equator co-badge; reviews generic.",
B087LYSTZQ,1999-2007-chevrolet-silverado-gmc-sierra-fleetside-6-5-ft-bed-hard-tri-fold-tonneau-cover-low-profile,KEEP,"Previously wrong-mapped; new handle's years/bed length (6.5ft, 99-07 incl. 2007 Classic) match Amazon exactly. One review complains it installs more like a bi-fold than tri-fold — legitimate product-design feedback, not an off-vehicle claim.",
B08SG6QK4G,2007-2013-gmc-sierra-1500-2007-2014-2500-3500-hd-full-led-projector-headlights-black-w-amber,KEEP,"Exact match; reviews generic.",
B08SQF49T2,1994-2002-dodge-ram-1500-2500-3500-mesh-front-grille-black,KEEP,"Exact match; reviews generic.",
B08SQKDFCF,2007-2013-chevy-silverado-1500-vertical-front-grille-matte-black,KEEP,"Exact match; review (2012 Silverado) in range.",
B095VGN3MP,2004-2015-nissan-titan-class-3-trailer-hitch-black-13199,KEEP,"Exact match; reviews are install/quality complaints (bolt hole tolerance), not vehicle mismatches.",
B098WFCZLX,2006-2008-lexus-is250-is350-front-grille-emblem-matte-black,KEEP,"Exact match; reviews generic, no off-year claims.",
B099DHDYCC,07-18-silverado-sierra-5-8ft-rubber-truck-bed-mat-v2,KEEP,"Exact match; reviews generic, no color/finish claim conflicts (Amazon and title both describe black rubber here).",
B099DLVDBQ,1999-2007-silverado-sierra-6-5ft-rubber-truck-bed-mat-aa025-v2,KEEP,"Exact match incl. 2007 Classic; reviews generic.",
B09SVY8V5Q,09-14-ford-f-150-led-crystal-headlights-sequential-signal-black,KEEP,"Exact match; reviews generic.",
B09TS4YR74,09-18-dodge-ram-chrome-crystal-headlights-w-led-light-bar,KEEP,"Exact match; reviews generic.",
B09XCFMKT7,06-15-chevy-impala-monte-carlo-led-crystal-headlights-chrome,KEEP,"Exact match; reviews generic.",
B09XD3ZBB3,07-13-chevy-silverado-1500-led-crystal-headlights-black-jdma,KEEP,"Exact match; reviews (2011/2012 Silverado) in range.",
B0BPN9QJ6Y,01-04-toyota-tacoma-crystal-headlights-w-sequential-led-black,KEEP,"Exact match; reviews generic.",
B0BXC6C13V,09-18-dodge-ram-projector-headlights-led-light-bar-black-dgpu09d,KEEP,"Exact match; reviews generic.",
B0C5YPVMNV,03-06-chevy-silverado-avalanche-chrome-led-headlights-4pc-set,KEEP,"Fitment matches Silverado 03-06/07 Classic + Avalanche 02-06; review (04 Silverado) in range.",
B0C9FR5G3S,2001-2011-ford-ranger-crystal-headlights-w-corner-lights-4pc-set-led-bar-chrome,KEEP,"Exact match; reviews generic.",
B01N1QAM0V,2010-2011-toyota-camry-mesh-front-grille-black,KEEP,"Exact match; review (2011 Camry) in range.",
B077KJNBJM,2005-2015-toyota-tacoma-bull-guard-w-mesh-skid-plate-matte-black,KEEP,"Exact match; review (2012 Tacoma) in range.",
B07KCSKDNR,1998-2004-isuzu-rodeo-1998-2002-honda-passport-class-3-trailer-hitch-receiver-2-inch,KEEP,"Was previously wrongly mapped elsewhere; new handle matches Rodeo/Passport fitment (Amazon also lists Isuzu Axiom, a broadening not present in title, not a conflict); review (1998 Rodeo) in range.",
B07LBZTL2H,2001-2005-volkswagen-passat-b5-5-front-grille-matte-black,KEEP,"Vehicle/year match (02 Passat GLS review in range). Note: Shopify title literally reads 'Front Grille - FGGG' (raw SKU family code left in the title instead of a finish descriptor) — flag as a P1 title bug to catalog team, unrelated to review mapping.",
B07MKDSXGV,2009-2019-ford-flex-2010-2019-lincoln-mkt-class-3-trailer-hitch-receiver-2-inch,KEEP,"Exact match incl. engine/exhaust sub-model note (Dual Exhaust Flex / EcoBoost MKT); reviews are quality complaints (wrong bolts), not vehicle mismatches.",
B07NDQ6R3K,2014-2019-silverado-sierra-rear-underseat-storage-organizer-box,KEEP,"Vehicle/years match. Amazon explicitly restricts this to 'Crew Cab' (underseat organizer requires the rear bench found only in Crew Cab); Shopify title/fitment don't state a cab-type gate. Reviews don't specify cab type so no confirmed contradiction, but flag missing cab_type gating to catalog/fitment team as a P1 — Regular/Double Cab buyers could order a part that doesn't fit their seat.",
B085ZLXQ44,2005-2022-toyota-tacoma-6ft-bed-rubber-mat-lightweight-v2,KEEP,"Bed length/year match; review (2013 Tacoma) consistent.",
B086M8CWBW,1999-2007-silverado-sierra-8ft-bed-rubber-mat-lightweight-v2,KEEP,"Exact match; reviews generic.",
B088D46SXV,2006-2011-chevrolet-hhr-bentley-style-mesh-grille-matte-black,KEEP,"Exact match; reviews generic.",
B08PQCNQF2,2015-2022-chevrolet-colorado-gmc-canyon-crew-cab-rock-slider-side-step-bars-texture-black,KEEP,"Cab type (Crew Cab) correctly gated and stated in title; reviews generic, no contradiction.",
B08RWJHZVW,2015-2022-chevrolet-colorado-gmc-canyon-bull-guard-w-studded-mesh-skid-plate-matte-black,KEEP,"Exact match; reviews (2020 Colorado, 2022 GMC Canyon) in range.",
B08SGK792V,07-14-chevy-silverado-full-led-projector-headlights-black-amber,KEEP,"Exact match; review (2013 2500 Silverado) in range.",
B08SQBSJQS,05-08-nissan-frontier-pathfinder-front-grille-chrome,KEEP,"Exact match; reviews generic.",
B08SQDD2L6,2006-2009-volkswagen-rabbit-front-grille-matte-black-mk5,KEEP,"Vehicle/year match (VW Golf/Rabbit MK5, same platform). Note: Shopify title again reads 'Front Grille - FGGG' (same raw-SKU-code title bug seen on B07LBZTL2H) — flag to catalog team. Amazon calls it 'Glossy Black' vs handle's 'matte-black'; no review makes a finish claim so not review-blocking, but worth catalog verification.",
B08SQYH5TS,2006-2009-chevy-trailblazer-lt-front-grille-chrome-mesh,KEEP,"Exact match incl. Trailblazer EXT; reviews (2008 Trailblazer) in range.",
B08TH5XG9L,2007-2014-gmc-yukon-xl-front-lower-bumper-grille-black,KEEP,"Underlying fitment JSON/Amazon cover Yukon (non-XL) + Yukon XL + Denali, broader than the 'Yukon XL' only title; review (2007 Yukon SLT, non-XL) is covered by the real fitment data even though the title text is narrower — flag title to catalog team, not review-blocking.",
B099D9H1NX,2005-2021-nissan-frontier-5ft-bed-rubber-mat-lightweight-v2,KEEP,"Exact match incl. Suzuki Equator; reviews generic.",
B099DDXTDS,02-22-dodge-ram-1500-2500-3500-5-7-bed-mat-w-rambox-v2,KEEP,"RamBox-specific bed mat correctly titled/gated; reviews generic, no conflict.",
B099DH3GD3,2015-2024-ford-f-150-6-5-ft-bed-rubber-mat-lightweight-v2,KEEP,"Fitment JSON actually covers 2015-2026 (matches Amazon) even though the Shopify title undersells it as '2015-2024' — title lag, not a review-safety issue; review generic.",
B099DN2SPC,02-22-dodge-ram-1500-2500-3500-6-5-bed-pvc-truck-bed-mat,KEEP,"Exact match; reviews are thickness/quality complaints, not vehicle mismatches.",
B09T5QB353,06-08-dodge-ram-sequential-led-projector-headlights-black,KEEP,"Exact match; reviews generic.",
B09TS4XBWM,04-15-nissan-titan-crystal-headlights-w-led-light-bar-chrome,KEEP,"Fitment JSON/Amazon include Armada 05-07 alongside Titan (title omits Armada, a broadening not a conflict); reviews generic.",
B09V6P8MXB,universal-3-stainless-steel-hitch-step-for-2-receivers-chrome,KEEP,"Product is a stainless-steel hitch step. One review explicitly describes 'Aluminum pipe/step' — a material mismatch vs. the stainless-steel product sold on this PDP (different corrosion/durability profile) — drop that review as likely written for a different (aluminum) variant. Remaining review ('Perfect: Fits well') is fine.","Aluminum step that allows me to get to roof rack...no more slipping on narrow bumper...: Aluminum pipe that is lightweight but strong.."
B09XZZQND6,2019-dodge-ram-5-7-bed-rubber-truck-bed-mat-lightweight-v2,KEEP,"Fitment JSON/Amazon cover 2019-2026 even though the Shopify title says '2019-2022' — title lag only, not review-blocking; reviews generic.",
B0B16YJQ12,2014-2021-toyota-tundra-chrome-led-crystal-headlights-tytd14d,KEEP,"Exact match incl. trim gating (SR/SR5/Limited/TRD Pro all listed); reviews generic.",
B0B9J8FY5K,2007-2013-toyota-tundra-2008-2017-sequoia-projector-headlights-w-sequential-led-bar-black,KEEP,"Exact match; reviews generic.",
B0C5Z3BFXM,05-11-toyota-tacoma-projector-headlights-sequential-led-black,KEEP,"Exact match; review usefully notes it fits Tacoma without the Sport package (no wiring mod needed) — trim detail, not a contradiction.",
B06Y3MHZLS,2005-2009-ford-mustang-v6-pony-package-front-lower-bumper-grille,KEEP,"Trim-gated product (V6 Pony Package) matches exactly; review is generic/non-specific.",
B071SDM6H5,2007-2009-toyota-yaris-sedan-oe-style-front-grille-matte-black,KEEP,"Body-style gated (4-door Sedan) correctly matches; review generic.",
B077KGWYVQ,nissan-pathfinder-xterra-bull-guard-w-mesh-skid-plate-matte-black,KEEP,"Fitment JSON/Amazon include Frontier 05-21 as the primary vehicle (CB item name is 'fron05...') but the Shopify title omits Frontier entirely ('Nissan Pathfinder Xterra Bull Guard'). The one review is explicitly for a Frontier, which matches the real fitment data — safe to keep, but flag the title to catalog team as it undersells/misrepresents true coverage.",
B07JKD6ZVB,2003-2019-toyota-corolla-class-1-trailer-hitch-receiver-1-25-inch,KEEP,"Exact match; review generic.",
B07JKLQPGL,2004-2009-toyota-prius-class-1-trailer-hitch-receiver-1-25-inch,KEEP,"Exact match; review (08 Prius) in range despite garbled phrasing.",
B07JR9DQS5,2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,NEEDS_REMAP,"This SKU (sbhd-f15015cc-5-bk — 'f15015cc' = F-150 2015 Crew Cab) is the same naming family as sbrs-f15015cc (B08JYG36VY / row 114), whose title correctly includes BOTH 'Ford F-150 & Super Duty SuperCrew.' Here the Shopify title/handle only say 'Ford Super Duty Crew Cab,' entirely omitting F-150 even though Amazon's own listing text says 'Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250...Superduty Crew Cab' and the CB SKU encodes F-150 2015 first. This ASIN's manifest_status was already wrong_map_removed once (a prior bad handle match) — recommend catalog team re-verify this handle is the correct/complete product (title should likely read 'Ford F-150 & Super Duty Crew Cab') before publishing reviews here.",
B07KY69DBS,2013-2022-ram-1500-big-horn-style-front-grille-matte-black-abs,KEEP,"Fitment JSON extends through Ram 1500 Classic (matches Amazon's 13-18/19-24 range) even though title says 2013-2022 — minor title lag, not blocking. Review confirms 2 holes must be drilled for the top clips during install — flag to marketing/PDP copy team if this SKU is advertised as 'no drilling' anywhere, since that would be an install-reality misrepresentation (separate from review safety).",
B07LC1H1QM,1998-2002-lincoln-navigator-vertical-style-front-grille-black,KEEP,"Exact match incl. Blackwood variant; review generic.",
B07LC3J8YJ,2011-2012-honda-accord-sedan-front-grille-chrome-finish,KEEP,"Exact match; review generic.",
B07MD6SY8F,2003-2009-kia-sorento-class-3-trailer-hitch-black-13513,KEEP,"Exact match; review generic.",
B07MKDT93Q,2006-2013-lexus-is250-is350-2006-2011-gs-class-1-trailer-hitch-receiver-1-25-inch,KEEP,"Exact match; review notes corroded factory bolts on install — install-reality note, not a vehicle mismatch.",
B07MNJ4DK4,1999-2006-volkswagen-golf-1998-2010-beetle-class-1-trailer-hitch-receiver-1-25-inch,KEEP,"Amazon specifies 'Beetle Non-Turbo' — a trim/engine sub-gate the Shopify title/fitment don't encode (flag as a P1 catalog gap: Turbo Beetle owners could buy a hitch that doesn't fit). The single review doesn't specify turbo/non-turbo so it doesn't confirm a contradiction; keeping the review but flagging the gating gap.",
B07N9RCKXH,2001-2003-ford-f-150-styleside-5-5-bed-pvc-truck-bed-mat-black,KEEP,"Exact match; review (2003 F-150 Short Bed) in range.",
B085LWNF4J,2012-2015-toyota-tacoma-oem-style-front-grille-black,KEEP,"Exact match; review (2013 Tacoma) in range.",
B085PPZQHP,2002-2006-cadillac-escalade-mesh-front-grille-black,KEEP,"Previously mapped_low_confidence; new handle matches exactly, review generic.",
B086VT9855,2007-2014-chevrolet-tahoe-suburban-avalanche-mesh-front-grille-chrome,KEEP,"Exact match; review is a bracket/quality complaint, not vehicle mismatch.",
B087LTKW76,2014-toyota-tundra-5-5ft-bed-hard-tri-fold-tonneau-cover-243364,KEEP,"Correctly bed-length-split SKU (5.5ft short bed); review generic, no bed-length conflict.",
B087LTYYJ7,2014-toyota-tundra-6-5ft-bed-hard-tri-fold-tonneau-cover-243365,KEEP,"Correctly bed-length-split SKU (6.5ft bed); review generic.",
B08DF6W3B1,2002-2005-audi-a4-s4-b6-front-grille-black,KEEP,"Exact match; review is a fit-tightness complaint, not vehicle mismatch.",
B08JYG36VY,2015-2023-ford-f-150-2017-2022-super-duty-supercrew-rock-slider-side-step-bars-texture-black,KEEP,"Title correctly lists both F-150 and Super Duty SuperCrew, matching Amazon exactly (contrast with B07JR9DQS5's incomplete title on the same product family); review generic.",
B08NSLGSY9,2009-2022-dodge-ram-full-led-projector-headlights-black-amber,KEEP,"Exact match; review is a customer-service note, not a vehicle mismatch.",
B08QZ4J46C,2005-2023-toyota-tacoma-double-cab-rock-slider-side-step-bars-texture-black,KEEP,"Cab type (Double/Crew Cab) correctly gated and titled; review generic.",
B08RWRCM7S,2007-2014-toyota-fj-cruiser-bull-guard-w-studded-mesh-skid-plate-matte-black,KEEP,"Exact match; review generic.",
B08SQ2Z71Y,1998-2002-lincoln-navigator-vertical-style-front-grille-black,KEEP,"Exact match incl. Blackwood; review generic.",
B08SQ3143V,2006-2009-land-rover-range-rover-sport-fender-vent-grille-chrome-silver,KEEP,"Exact match (L320 chassis); review generic.",
B08SQGS9DG,2004-2005-subaru-impreza-aluminum-mesh-grille-matte-black,KEEP,"Exact match; review mentions customer painted the mesh red themselves — that's a self-modification, not a claim about the product's stock finish, not blocking.",
B08SQKFQR6,1999-2006-volkswagen-golf-mk4-horizontal-front-grille-black,KEEP,"Amazon/fitment cover Golf/GTI/R32 MK4 (same platform); review (03 GTI) matches the broader real fitment even though title only says 'Golf MK4' — not a cross-platform mismatch, minor title-completeness note only.",
B08SQYG6R3,2004-2007-volkswagen-touareg-front-grille-black-torg-0206-bk,KEEP,"Fitment JSON matches title (2004-2007); Amazon claims one extra year (2003) not in Shopify's data — a possible undersell, not a review-safety issue. Review is generic, no year claim.",
B09258DSQN,99-07-chevy-silverado-gmc-sierra-6-5-roll-up-tonneau-cover,KEEP,"Exact match (6.5ft bed, 99-07 incl. Classic); review generic.",
B095W7Y35Z,2004-2009-dodge-durango-chrysler-aspen-class-3-trailer-hitch,KEEP,"Exact match; review confirms 2 holes had to be drilled during install — install-reality note for PDP copy team, not a vehicle mismatch.",
B099DHNC69,2004-2012-chevy-colorado-gmc-canyon-6-bed-rubber-mat-grey,KEEP,"Fitment/years match. Same 'Grey' title vs. black-rubber Amazon description pattern seen on the other -gy SKUs — likely a systemic title copy bug, flag to catalog team; review generic, no vehicle conflict.",
B09C2RYSMT,2019-2022-chevy-silverado-gmc-sierra-5-8-rubber-truck-bed-mat,KEEP,"Exact match; here the title does NOT claim 'Grey' (consistent with the black-rubber description), so no title conflict. Review generic.",
B09GXQNNZ6,2019-2022-chevy-silverado-gmc-sierra-1500-bull-guard-led-matte-black,KEEP,"Fitment JSON/Amazon explicitly include GMC Sierra 1500 19-21, but the Shopify title only says 'Chevrolet Silverado 1500.' The one review is from a GMC Sierra owner, which matches the real (broader) fitment data — safe to keep, but flag title to catalog team to add GMC Sierra (Sierra/Silverado are platform mates).",
B09TS48JW1,04-15-nissan-titan-sequential-led-crystal-headlights-black,KEEP,"Fitment JSON/Amazon include Armada 05-07 (title omits it, a broadening not a conflict); review generic.",
B0BNWPCTCS,03-06-chevy-silverado-avalanche-chrome-led-sequential-headlights-4pc,KEEP,"Exact match; review generic.",
B0BPNB39HH,05-06-toyota-tundra-black-crystal-headlights-w-led-light-bar-4pc,KEEP,"Amazon explicitly gates this to Tundra 'Double (Crew) Cab' and also lists Sequoia 05-07 (fitment JSON confirms Sequoia); neither the cab-type restriction nor Sequoia coverage is reflected in the Shopify title. Review is generic (doesn't specify cab type), so no confirmed contradiction — keep, but flag missing cab_type gate + missing Sequoia coverage to catalog/fitment team.",
B0CD382Y99,2022-2026-nissan-frontier-5ft-bed-rubber-mat-diamond-plate,KEEP,"Correctly generation-gated to the D41 Frontier (2022+) only, distinct from the D40-generation 5ft mat SKUs (2005-2021, e.g. B086MNRSY4/B099D9H1NX) — good example of proper generation split. Review (2023 Frontier) is D41, in range."
